Feature,F_Score,P_Value
dot_count,31994.173434398363,0.0
path_length,19041.47315197354,0.0
slash_count,10162.464008559391,0.0
special_char_count,8873.396544649346,0.0
domain_length,3307.8967170056103,0.0
letter_count,2635.848575123578,0.0
url_length,2242.461520497213,0.0
entropy,1293.608421890937,6.258024669410749e-283
digit_count,418.6483180684107,5.235033730763643e-93
digit_ratio,80.50982701316435,2.902007888660229e-19
